Nama,Alamat,Longitude,Lattitude
Bank BRI Unit Sukun,"Jl. Danau Toba, Sawojajar, Kec. Kedungkandang, Kota Malang",112.6538088,-7.980692
Bank BTN,"Jl. Danau Toba No.16, Madyopuro, Kec. Kedungkandang, Kota Malang",112.6451933,-7.9806852
Bank Sulutgo,"Jl. Letjend S. Parman No.25, Lowokwaru, Kec. Lowokwaru, Kota Malang",112.6288151,-7.9614249
Bank Mandiri Malang Tumenggung Suryo,"Jl. R. Tumenggung Suryo, Purwantoro, Kec. Blimbing, Kota Malang",112.6397592,-7.9609651
Bank Syariah Mandiri Kantor Area Malang,"Jl. Letjen Sutoyo No.77B, Lowokwaru, Kec. Lowokwaru, Kota Malang",112.6389561,-7.9610765
Bank Jabar Banten,"Jl. Merdeka, Kiduldalem, Kec. Klojen, Kota Malang",112.6339431,-7.9763618
Bank BRI,"Jl. Kertanegara No.2, Kiduldalem, Kec. Klojen, Kota Malang",112.6356186,-7.9756803
Bank Btn Atm Bahara,"Jl. R. Tumenggung Suryo No.40A, Bunulrejo, Kec. Blimbing, Kota Malang",112.6397718,-7.9628643
Bank Mandiri - KCP Malang Suprapto,"Jl. Jaksa Agung Suprapto No.65, Samaan, Kec. Klojen, Kota Malang",112.6355415,-7.9662949
Bank Sahabat Sampoerna Cabang Malang,"Jl. Letjend S. Parman No.56, Purwantoro, Kec. Blimbing, Kota Malang",112.6284944,-7.9597713
