Nama,Alamat,Longitude,Latitude
PT. CLIPAN FINANCE Tbk. NEW CAR - cabang MALANG,"JL R TUMENGGUNG SURYO NO 23 A Bunulrejo, Purwantoro, Kec. Blimbing, Kota Malang, Jawa Timur 65111",112.6390467,-7.958702
PT. Maybank Indonesia Finance,"Jl. R. Tumenggung Suryo No.143C, Purwantoro, Kec. Blimbing, Kota Malang",112.6330434,-7.9609187
Sinar Mas Multi Finance,"JL. Terusan Sulfat, Kav. 41 No. 4, Pandanwangi, Kec. Blimbing, Kota Malang",112.6360904,-7.9605361
Indomobil Finance,"Jl. R. Tumenggung Suryo No.98, Purwantoro, Kec. Blimbing, Kota Malang",112.6419001,-7.9591867
JACCS MPM Finance Indonesia,"Jl. Letjen Sutoyo No.50A, Rampal Celaket, Kec. Klojen, Kota Malang",112.636986,-7.961307
Rokojoyo Makmur,"Jl. Letjen Sutoyo No.50A, Rampal Celaket, Kec. Klojen, Kota Malang",112.6457208,-7.9662355
Anugerah Buana Central Multifinance,"Jalan R.Tumenggung Suryo No. 34, Bunulrejo, Blimbing, Purwantoro, Malang, Kota Malang",112.6429922,-7.9631671
PT. INDOSURYA INTI FINANCE (Malang),"Jl. Brigjend Slamet Riadi No.19, Oro-oro Dowo, Kec. Klojen, Kota Malang",112.6290957,-7.9688798
Tritama Jaya Abadi,"JL. Sulfat Tengah E, No. 16 Rt. 03 Rw. 13, Pandanwangi, Blimbing, Pandanwangi, Malang, Kota Malang",112.6481603,-7.9631892
"Verena Multi Finance, PT.","Ruko Letjend S Parman Jl. Letjend S. Parman No.56, Purwantoro, Kec. Blimbing, Kota Malang",112.6295636,-7.9543155
